DATA,Tipo,Spread,Data_Str,Color
2024-06-06,Spread B26/DAP26,0.0823999999999998,2024-06-06,#1f77b4
2024-06-10,Spread B26/DAP26,0.09079999999999977,2024-06-10,#1f77b4
2024-06-11,Spread B26/DAP26,0.07629999999999981,2024-06-11,#1f77b4
2024-06-14,Spread B26/DAP26,0.04079999999999995,2024-06-14,#1f77b4
2024-06-27,Spread B26/DAP26,0.08580000000000076,2024-06-27,#1f77b4
2024-06-28,Spread B26/DAP26,0.06510000000000016,2024-06-28,#1f77b4
2024-07-08,Spread B26/DAP26,0.09620000000000051,2024-07-08,#1f77b4
2024-07-09,Spread B26/DAP26,0.06650000000000045,2024-07-09,#1f77b4
2024-07-12,Spread B26/DAP26,0.08399999999999963,2024-07-12,#1f77b4
2024-07-17,Spread B26/DAP26,0.09659999999999958,2024-07-17,#1f77b4
2024-07-23,Spread B26/DAP26,0.08279999999999976,2024-07-23,#1f77b4
2024-07-24,Spread B26/DAP26,0.10270000000000046,2024-07-24,#1f77b4
2024-07-25,Spread B26/DAP26,0.10879999999999956,2024-07-25,#1f77b4
2024-07-26,Spread B26/DAP26,0.10769999999999946,2024-07-26,#1f77b4
2024-07-30,Spread B26/DAP26,0.11930000000000085,2024-07-30,#1f77b4
2024-08-02,Spread B26/DAP26,0.12450000000000028,2024-08-02,#1f77b4
2024-08-05,Spread B26/DAP26,0.11500000000000021,2024-08-05,#1f77b4
2024-08-07,Spread B26/DAP26,0.09499999999999975,2024-08-07,#1f77b4
2024-08-08,Spread B26/DAP26,0.12929999999999975,2024-08-08,#1f77b4
2024-08-14,Spread B26/DAP26,0.06280000000000019,2024-08-14,#1f77b4
2024-08-21,Spread B26/DAP26,0.07149999999999945,2024-08-21,#1f77b4
2024-08-23,Spread B26/DAP26,0.07279999999999998,2024-08-23,#1f77b4
2024-08-27,Spread B26/DAP26,0.08650000000000002,2024-08-27,#1f77b4
2024-08-28,Spread B26/DAP26,0.0671999999999997,2024-08-28,#1f77b4
2024-08-30,Spread B26/DAP26,0.09260000000000002,2024-08-30,#1f77b4
2024-09-02,Spread B26/DAP26,0.09999999999999964,2024-09-02,#1f77b4
2024-09-03,Spread B26/DAP26,0.09159999999999968,2024-09-03,#1f77b4
2024-09-04,Spread B26/DAP26,0.08190000000000008,2024-09-04,#1f77b4
2024-09-05,Spread B26/DAP26,0.0788000000000002,2024-09-05,#1f77b4
2024-09-06,Spread B26/DAP26,0.06540000000000035,2024-09-06,#1f77b4
2024-09-09,Spread B26/DAP26,0.030100000000000016,2024-09-09,#1f77b4
2024-09-10,Spread B26/DAP26,0.06199999999999939,2024-09-10,#1f77b4
2024-09-11,Spread B26/DAP26,0.07929999999999993,2024-09-11,#1f77b4
2024-09-17,Spread B26/DAP26,0.09509999999999952,2024-09-17,#1f77b4
2024-09-18,Spread B26/DAP26,0.08749999999999947,2024-09-18,#1f77b4
2024-09-23,Spread B26/DAP26,0.07399999999999984,2024-09-23,#1f77b4
2024-09-24,Spread B26/DAP26,0.04929999999999968,2024-09-24,#1f77b4
2024-09-25,Spread B26/DAP26,0.038599999999999746,2024-09-25,#1f77b4
2024-09-26,Spread B26/DAP26,0.050200000000000244,2024-09-26,#1f77b4
2024-09-30,Spread B26/DAP26,0.0031999999999996476,2024-09-30,#1f77b4
2024-10-01,Spread B26/DAP26,0.05379999999999985,2024-10-01,#1f77b4
2024-10-02,Spread B26/DAP26,0.05999999999999961,2024-10-02,#1f77b4
2024-10-03,Spread B26/DAP26,0.05679999999999996,2024-10-03,#1f77b4
2024-10-04,Spread B26/DAP26,0.07000000000000028,2024-10-04,#1f77b4
2024-10-08,Spread B26/DAP26,0.02519999999999989,2024-10-08,#1f77b4
2024-10-09,Spread B26/DAP26,0.023399999999999643,2024-10-09,#1f77b4
2024-10-10,Spread B26/DAP26,0.05579999999999963,2024-10-10,#1f77b4
2024-10-11,Spread B26/DAP26,0.06810000000000027,2024-10-11,#1f77b4
2024-10-14,Spread B26/DAP26,0.05239999999999956,2024-10-14,#1f77b4
2024-10-15,Spread B26/DAP26,0.024999999999999467,2024-10-15,#1f77b4
2024-10-16,Spread B26/DAP26,0.049399999999999444,2024-10-16,#1f77b4
2024-10-17,Spread B26/DAP26,0.03979999999999961,2024-10-17,#1f77b4
